appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,22,113,Mysimol,Paracetamol 160mg/5ml,Dung dịch uống,24 tháng,TCCS,"Hộp 20 gói x 5ml; Hộp 20 ống x 5ml; Hộp 01 chai 30ml, 50ml, 60ml, 100ml",VD-35885-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,114,Bividia 25,Sitagliptin (dưới dạng Sitagliptin phosphat monohydrat) 25mg,Viên nén bao phim,36 tháng,TCCS,Hộp 3 vỉ x 10 viên; Hộp 1 chai x 60 viên,VD-35886-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,115,Myhemo,"Acid folic 0,35mg; Sắt (dưới dạng Ferrous fumarat 305mg) 100mg",Viên bao đường,30 tháng,TCCS,Hộp 3 vỉ x 10 viên,VD-35887-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,116,Miadrol 16mg,Methylprednisolon 16mg,Viên nén,48 tháng,TCCS,Hộp 3 vỉ x 10 Viên,VD-35888-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,117,Miadrol 4mg,Methylprednisolon 4mg,Viên nén,48 tháng,TCCS,Hộp 3 vỉ x 10 Viên,VD-35889-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,118,Paracetamol infusion 10mg/ml,Paracetamol 10mg/ml,Dung dịch tiêm truyền tĩnh mạch,36 tháng,TCCS,Hộp 36 túi x 50ml,VD-35890-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,119,Fynzaf,Linagliptin 5mg,Viên nén bao phim,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35891-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,120,Rubotoon 10,Isotretinoin 10mg,Viên nang mềm,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35892-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,121,Vinatom FDG,Fluorine 18 Fluorodeoxyglucose (F-18FDG) 5 - 200mCi/ml,Dung dịch tiêm tĩnh mạch,12 giờ,TCCS,Bình chì chứa 1 lọ thủy tinh 10ml,VD-35893-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,122,Felnosat,Sắt (III) (dưới dạng sắt III hydroxid polymaltose) 100mg; Acid folic,Viên nén,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35894-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,123,Ecoliptin 5,Linagliptin 5mg,Viên nén bao phim,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35895-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,124,Tezfon,Ebastin 10mg,Viên nén phân tán trong miệng,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35896-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,125,Eucablue Extra,"Eucalyptol 100mg; Tinh dầu gừng 0,5mg; Tinh dầu tần 0,18mg; Menthol 0,5mg",Viên nang mềm,36 tháng,TCCS,Hộp 10 vỉ x 10 viên; Chai 40 viên,VD-35897-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,126,Calcium Hasan 500 mg,Calci (dưới dạng Calci lactat gluconat 2940mg và Calci carbonat 300 mg) 500mg,Viên nén sủi bọt,36 tháng,TCCS,Hộp 1 tuýp x 20 viên,VD-35898-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,127,Hasitec 10,Enalapril maleat 10mg,Viên nén,36 tháng,TCCS,"Hộp 3 vỉ, 10 vỉ x 10 viên",VD-35899-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,128,Hasitec 5,Enalapril maleat 5mg,Viên nén,36 tháng,TCCS,"Hộp 3 vỉ, 10 vỉ x 10 viên",VD-35900-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,129,Lacisartan HCT 100/25,Losartan kali 100mg; Hydroclorothiazid 25mg,Viên nén bao phim,36 tháng,TCCS,Hộp 3 vỉ x 10 viên; Hộp 5 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,VD-35901-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,130,Letarid 100,Levosulpirid 100mg,Viên nén,36 tháng,TCCS,Hộp 03 vỉ x 10 viên; Hộp 05 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,VD-35902-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,131,Letarid 25,Levosulpirid 25mg,Viên nén,36 tháng,TCCS,Hộp 1 vỉ x 10 viên; Hộp 3 vỉ x 10 viên; Hộp 5 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,VD-35903-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,132,Veramil 40,Verapamil hydroclorid 40mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 03 vỉ, 05 vỉ, 10 vỉ x 10 viên",VD-35904-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,133,Veramil 80,Verapamil hydroclorid 80mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 03 vỉ, 05 vỉ, 10 vỉ x 10 viên",VD-35905-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,134,Zectidil 200,Dexibuprofen 200mg,Viên nén bao phim,36 tháng,TCCS,Hộp 3 vỉ x 10 viên; Hộp 5 vỉ,VD-35906-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,135,Zectidil 300,Dexibuprofen 300mg,Viên nén bao phim,36 tháng,TCCS,Hộp 3 vỉ x 10 viên; Hộp 5 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,VD-35907-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,136,Zectidil 400,Dexibuprofen 400mg,Viên nén bao phim,36 tháng,TCCS,Hộp 3 vỉ x 10 viên; Hộp 5 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,VD-35908-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,137,Cotrinlp,Sulfamethoxazol 200mg; Trimethoprim 40mg,Thuốc bột pha hỗn dịch uống,36 tháng,TCCS,Hộp 30 gói x 2g thuốc bột pha hỗn dịch uống,VD-35909-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,138,Lipotonic,Pitavastatin (dưới dạng Pitavastatin calci) 2mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 3 vỉ, 10 vỉ x 10 viên",VD-35910-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,139,Sun-Ambroxol,Ambroxol hydroclorid 15mg/5ml,Dung dịch uống,24 tháng,TCCS,"Hộp 10 ống, 20 ống, 30 ống x 5ml",VD-35911-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,140,Medloda 8,Ondansetron (dưới dạng ondansetron HCl) 8mg/4ml,Dung dịch tiêm,36 tháng,USP hiện hành,"Hộp 5 ống x 4 ml, Hộp 10 ống x 4 ml, Hộp 20 ống x 4 ml",VD-35912-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,141,Medvercin 500,N-Acetyl-DL-Leucin 500 mg/5ml,Tiêm tĩnh mạch,24 tháng,TCCS,Hộp 5 ống; Hộp 10 ống x 5ml,VD-35913-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,142,Tobramedlac 100,Tobramycin (dưới dạng Tobramycin sulfat) 100mg/2ml,Dung dịch tiêm,24 tháng,USP hiện hành,Hộp 5 ống x 2ml; Hộp 10 ống x 2ml,VD-35914-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,143,Erythromycin 500mg,Erythomycin 500mg,Viên nén bao phim,36 tháng,DĐVN V,Hộp 10 vỉ x 10 viên,VD-35915-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,144,Biovacor,Pravastatin natri 40mg,Viên nén,36 tháng,USP 41,Hộp 03 vỉ x 10 viên,VD-35916-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,145,Biovacor,Pravastatin natri,Viên nén,36,USP,Hộp 03 vỉ x 10,VD-35917-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,146,Herazole,Fluconazole 200mg,Viên nang cứng,36 tháng,DĐVN V,Hộp 01 vỉ x 01 viên,VD-35918-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,147,"Meloxicam 7,5","Meloxicam 7,5mg",Viên nén,36 tháng,USP hiện hành,Hộp 05 vỉ x 10 viên; Hộp 01 chai x 100 viên,VD-35919-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,148,Flaben 1000,Diosmin 1000mg,Viên nén,36 tháng,TCCS,"Hộp 01 vỉ, 03 vỉ, 05 vỉ x 10 viên",VD-35920-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,149,Flaben 5000,Diosmin 500mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 01 vỉ, 03 vỉ, 05 vỉ x 10 viên",VD-35921-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,150,Nacofen,Nabumeton 1000mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 01 vỉ, 02 vỉ, 03 vỉ, 05 vỉ, 10 vỉ x 10 viên",VD-35922-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,151,SM.RISEDRONAT 5,Risedronat natri (dưới dạng Risedronat natri hemipentahydrat) 5mg,Viên nén,24 tháng,TCCS,"Hộp 3 vỉ, 6 vỉ, 10 vỉ x 10 viên",VD-35923-22,,
Phụ lục II,Cấp giấy đăng ký lưu hành,29,1,Lamivudin 100,Lamivudin 100mg,Viên nén,36 tháng,TCCS,"Hộp 03 vỉ, 06 vỉ, 10 vỉ x 10 viên; Hộp 01 lọ x 100 viên",VD3-182-22,,
Phụ lục II,Cấp giấy đăng ký lưu hành,29,2,Lamivudin 150,Lamivudin 150mg,Viên nén,36 tháng,TCCS,"Hộp 03 vỉ, 06 vỉ, 10 vỉ x 10 viên; Hộp 01 lọ x 100 viên",VD3-183-22,,
Phụ lục II,Cấp giấy đăng ký lưu hành,29,3,Tenofovir 150,Tenofovir disoproxil fumarate 150mg,Viên nén,36 tháng,TCCS,"Hộp 03 vỉ, 06 vỉ, 10 vỉ x 10 viên; Hộp 01 lọ x 100 viên",VD3-184-22,,
Phụ lục II,Cấp giấy đăng ký lưu hành,29,4,Atihytalox plus,"Mỗi 10ml chứa: Magnesium hydroxide 600mg; Aluminum hydroxide 599,8mg; Simethicon (dưới dạng Simethicon 30%) 60mg",Hỗn dịch uống,36 tháng,TCCS,"Hộp 20 gói, 30 gói, 50 gói x 10ml",VD3-185-22,,
Phụ lục II,Cấp giấy đăng ký lưu hành,30,5,Vinpha E,Vitamin E (DL-alpha tocopheryl acetat) 400IU,Viên nang mềm,36 tháng,DĐVN V,Hộp 10 vỉ x 10 viên; Hộp 3 vỉ x 10 viên,VD3-186-22,,
Phụ lục II,Cấp giấy đăng ký lưu hành,30,6,Sofos-5A 400mg,Sofosbuvir 400mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 3 vỉ, 5 vỉ, 10 vỉ x 10 viên; Hộp 4 vỉ x 7 viên",VD3-187-22,,
Phụ lục II,Cấp giấy đăng ký lưu hành,30,7,Exemesin,Exemestane 25mg,Viên nén bao phim,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD3-188-22,,
Phụ lục II,Cấp giấy đăng ký lưu hành,30,8,Imalotab,"Imatinib (dưới dạng Imatinib mesilate 119,5mg) 100mg",Viên nén bao phim,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD3-189-22,,
